id,company,industry,num,결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
DB손해보험_손보_02.csv,DB손해보험,손보,02,12년03월(4Q),48950,22608,25271,883,718,738,32351,9.18,1.51,1014,681.34,37.06,NA,3.16,13.06,NA,55.81
DB손해보험_손보_02.csv,DB손해보험,손보,02,11년12월(3Q),53400,21348,23864,1502,1022,-1043,30572,16.64,1.75,1444,663.01,30.1,10.3,5.29,19.76,-3.38,54.99
DB손해보험_손보_02.csv,DB손해보험,손보,02,11년09월(2Q),51500,20032,21200,985,734,2461,28712,15.8,1.79,1036,661.2,23.37,-5.33,3.63,14.63,-9.55,52.65
DB손해보험_손보_02.csv,DB손해보험,손보,02,11년06월(1Q),55500,20078,19463,1698,1301,-2913,28777,16.47,1.93,1838,662.75,18.43,180.46,7.24,26.38,180.63,58.75
DB손해보험_손보_02.csv,DB손해보험,손보,02,11년03월(4Q),50100,19377,18438,-832,-784,5419,27787,22.91,1.8,-1108,600.81,NA,NA,-4,NA,NA,66.98
DB손해보험_손보_02.csv,DB손해보험,손보,02,10년12월(3Q),45000,NA,18344,1362,1058,-1077,NA,NA,NA,1494,NA,NA,NA,6.06,NA,NA,60.83
DB손해보험_손보_02.csv,DB손해보험,손보,02,10년09월(2Q),35250,NA,17184,1040,811,4270,NA,NA,NA,1145,NA,NA,NA,4.93,NA,NA,55.75
DB손해보험_손보_02.csv,DB손해보험,손보,02,10년06월(1Q),35500,NA,16435,605,464,-2976,NA,NA,NA,655,NA,NA,NA,3.07,NA,NA,59.29
DB손해보험_손보_02.csv,DB손해보험,손보,02,10년03월(4Q),32300,11735,15684,316,310,5699,16993,10.1,1.9,438,803.28,23.07,-8.78,1.73,11.1,0.55,61.96
DB손해보험_손보_02.csv,DB손해보험,손보,02,09년12월(3Q),32400,10591,15382,762,650,-498,15378,10.14,2.11,918,869.75,18.15,-1.2,4.18,25.28,8.23,62.15
DB손해보험_손보_02.csv,DB손해보험,손보,02,09년09월(2Q),36150,9977,14522,630,517,931,14511,11.57,2.49,731,910.13,15.37,-15.06,3.74,21.6,-6.66,69.1
DB손해보험_손보_02.csv,DB손해보험,손보,02,09년06월(1Q),26200,9187,13614,1004,786,-639,13395,8.25,1.96,1110,912.3,10.63,-0.39,6.19,35.76,-7.76,70.23
DB손해보험_손보_02.csv,DB손해보험,손보,02,09년03월(4Q),20500,8402,12744,347,308,590,12286,6.27,1.67,435,965.61,4.59,5.39,2.31,15.08,1.11,70.68
DB손해보험_손보_02.csv,DB손해보험,손보,02,08년12월(3Q),14500,7946,13019,772,601,572,11642,4.44,1.25,848,998.7,9.42,-41.65,4.7,31.61,-35.68,66.71
DB손해보험_손보_02.csv,DB손해보험,손보,02,08년09월(2Q),26750,7251,12587,742,554,167,10660,7.16,2.51,783,1069.83,10.7,-33.8,4.95,29.37,-38.26,67.24
DB손해보험_손보_02.csv,DB손해보험,손보,02,08년06월(1Q),38400,7848,12306,1008,852,432,11504,9.1,3.34,1204,983.15,10.84,15.28,7.01,41.97,48.06,66.65
DB손해보험_손보_02.csv,DB손해보험,손보,02,08년03월(4Q),38000,8398,12185,329,305,-758,12281,9.92,3.09,430,865.23,13.16,-64.35,2.29,15,-53.41,67.37
DB손해보험_손보_02.csv,DB손해보험,손보,02,07년12월(3Q),54700,7851,11899,1322,934,1230,11507,12.65,4.75,1319,885.01,16.86,188.21,8.81,48.47,185.33,61.95
DB손해보험_손보_02.csv,DB손해보험,손보,02,07년09월(2Q),38400,7557,11370,1121,898,838,11093,11.08,3.46,1268,872.83,17.28,499.01,8.36,49.25,485.68,65.85
DB손해보험_손보_02.csv,DB손해보험,손보,02,07년06월(1Q),31000,7024,11102,874,576,-165,10340,12.83,3,813,917.59,18.33,684.1,6.7,33.73,577.98,65.19
DB손해보험_손보_02.csv,DB손해보험,손보,02,07년03월(4Q),26700,6627,10768,922,654,-3187,9778,15.5,2.73,924,909.28,19.24,NA,7.06,39.93,197.08,62.88
