year,company,industry,결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PBR,부채율,매출증가,영익률,지배ROE,매출이익
19,GS건설,건설,19년03월(1Q),42600,37173,26019,1914,1293,-896,45563,0.93,247.9,-16.81,7.36,14.26,13.61
18,GS건설,건설,18년12월(4Q),43750,36247,32327,2221,962,2945,45130,0.97,231.98,2.18,6.87,11.01,13.55
18,GS건설,건설,18년09월(3Q),52300,35148,31973,2333,1373,1403,44077,1.19,249.35,13.37,7.3,16.16,11.08
18,GS건설,건설,18년06월(2Q),46000,33366,35819,2192,1452,116,42827,1.07,277.06,19.62,6.12,18.44,9.26
18,GS건설,건설,18년03월(1Q),29600,30457,31275,3898,2087,5865,42490,0.7,304.3,15.8,12.46,26.96,16.11
17,GS건설,건설,17년12월(4Q),28300,32397,31638,1026,-982,-1437,45246,0.63,322.77,1.55,3.24,-12.3,6.68
17,GS건설,건설,17년09월(3Q),26650,33505,28203,711,-84,263,46709,0.57,306.69,9.54,2.52,-1.22,8.73
17,GS건설,건설,17년06월(2Q),30450,33400,29944,860,103,329,46759,0.65,299.79,10.64,2.87,1.07,6.3
17,GS건설,건설,17년03월(1Q),30700,32853,27009,590,-674,-1210,46336,0.66,307.12,2.34,2.18,-8.39,5.82
16,GS건설,건설,16년12월(4Q),26500,33532,31154,528,-173,1798,47247,0.56,298.92,4.65,1.7,-2.39,5.06
16,GS건설,건설,16년09월(3Q),29350,33823,25747,384,-187,868,47748,0.61,282.27,-7.68,1.49,-2.32,3.39
16,GS건설,건설,16년06월(2Q),27750,34070,27064,227,77,678,48070,0.58,286.86,8.64,0.84,0.78,4.26
16,GS건설,건설,16년03월(1Q),27300,33923,26391,291,78,-2532,47920,0.57,274.79,13.96,1.1,0.82,4.84
15,GS건설,건설,15년12월(4Q),19750,33480,29769,530,-301,4474,47324,0.42,288.45,7.24,1.78,-3.61,5.81
15,GS건설,건설,15년09월(3Q),24550,34128,27889,109,534,-2172,47983,0.51,288.33,21.01,0.39,6.4,4.04
15,GS건설,건설,15년06월(2Q),26800,35922,24911,382,47,2816,47314,0.57,284.85,5.27,1.53,0.38,5.51
